time,streamflow (m3 s-1),reference_time
2024-03-11 13:00:00+00:00,7.0699998419731855,2024-03-11 12:00:00
2024-03-11 14:00:00+00:00,6.989999843761325,2024-03-11 12:00:00
2024-03-11 15:00:00+00:00,6.869999846443534,2024-03-11 12:00:00
2024-03-11 16:00:00+00:00,6.769999848678708,2024-03-11 12:00:00
2024-03-11 17:00:00+00:00,6.599999852478504,2024-03-11 12:00:00
2024-03-11 18:00:00+00:00,6.439999856054783,2024-03-11 12:00:00
2024-03-11 19:00:00+00:00,6.169999862089753,2024-03-11 12:00:00
2024-03-11 20:00:00+00:00,6.179999861866236,2024-03-11 12:00:00
2024-03-11 21:00:00+00:00,5.80999987013638,2024-03-11 12:00:00
2024-03-11 22:00:00+00:00,5.799999870359898,2024-03-11 12:00:00
2024-03-11 23:00:00+00:00,6.289999859407544,2024-03-11 12:00:00
2024-03-12 00:00:00+00:00,6.0899998638778925,2024-03-11 12:00:00
2024-03-12 01:00:00+00:00,6.2099998611956835,2024-03-11 12:00:00
2024-03-12 02:00:00+00:00,5.839999869465828,2024-03-11 12:00:00
2024-03-12 03:00:00+00:00,5.879999868571758,2024-03-11 12:00:00
2024-03-12 04:00:00+00:00,5.519999876618385,2024-03-11 12:00:00
2024-03-12 05:00:00+00:00,5.80999987013638,2024-03-11 12:00:00
2024-03-12 06:00:00+00:00,5.479999877512455,2024-03-11 12:00:00
2024-03-12 07:00:00+00:00,5.629999874159694,2024-03-11 12:00:00
2024-03-12 08:00:00+00:00,5.379999879747629,2024-03-11 12:00:00
2024-03-12 09:00:00+00:00,5.839999869465828,2024-03-11 12:00:00
2024-03-12 10:00:00+00:00,5.5399998761713505,2024-03-11 12:00:00
2024-03-12 11:00:00+00:00,5.349999880418181,2024-03-11 12:00:00
2024-03-12 12:00:00+00:00,5.529999876394868,2024-03-11 12:00:00
2024-03-12 13:00:00+00:00,5.279999881982803,2024-03-11 12:00:00
2024-03-12 14:00:00+00:00,5.389999879524112,2024-03-11 12:00:00
2024-03-12 15:00:00+00:00,5.1099998857825994,2024-03-11 12:00:00
2024-03-12 16:00:00+00:00,5.319999881088734,2024-03-11 12:00:00
2024-03-12 17:00:00+00:00,5.089999886229634,2024-03-11 12:00:00
2024-03-12 18:00:00+00:00,5.439999878406525,2024-03-11 12:00:00
2024-03-12 19:00:00+00:00,5.649999873712659,2024-03-11 12:00:00
2024-03-12 20:00:00+00:00,5.689999872818589,2024-03-11 12:00:00
2024-03-12 21:00:00+00:00,5.619999874383211,2024-03-11 12:00:00
2024-03-12 22:00:00+00:00,5.619999874383211,2024-03-11 12:00:00
